cart_id,session_id,user_id,restaurant_id,items_count,cart_value,coupon_applied,discount,delivery_fee,timestamp,abandoned,abandonment_reason
1,4,7926,129,1,107.0,False,0.0,25,2026-07-21 18:48:07,False,
2,5,4595,396,3,1474.0,True,311.0,0,2026-08-06 23:08:46,False,
3,7,1431,477,2,177.0,True,24.0,25,2026-07-08 08:19:18,False,
4,8,1847,237,5,1231.0,False,0.0,15,2026-03-25 06:19:12,False,
5,10,79,75,4,723.0,False,0.0,0,2026-05-03 23:33:20,False,
6,13,37,489,4,525.0,True,112.0,49,2026-05-12 12:34:55,False,
7,18,7869,311,2,179.0,False,0.0,59,2026-03-02 12:41:27,False,
8,20,3617,54,2,613.0,True,165.0,0,2026-03-13 01:36:45,False,
9,24,880,217,3,1962.0,True,459.0,0,2026-05-24 09:22:29,False,
10,26,6616,434,2,233.0,True,64.0,25,2026-06-25 19:23:06,True,Changed Mind
11,27,88,77,2,461.0,False,0.0,49,2026-06-20 23:51:30,True,High Delivery Fee
12,29,5018,225,2,354.0,False,0.0,0,2026-08-28 21:20:26,False,
13,30,4468,210,2,714.0,True,124.0,25,2026-06-06 09:26:22,False,
14,35,6338,29,2,348.0,True,94.0,49,2026-04-02 20:58:27,False,
15,38,7194,334,4,890.0,True,106.0,0,2026-05-22 22:22:59,False,
16,47,3232,350,1,186.0,False,0.0,49,2026-05-17 22:32:54,False,
17,51,413,471,2,242.0,True,25.0,0,2026-03-14 20:32:21,False,
18,52,6663,415,1,418.0,False,0.0,25,2026-08-25 20:35:35,False,
19,57,3126,498,1,239.0,False,0.0,0,2026-07-13 02:58:32,False,
20,63,6818,304,2,827.0,False,0.0,0,2026-03-30 17:04:24,False,
21,64,5945,47,3,646.0,False,0.0,0,2026-08-24 18:15:15,False,
22,65,3509,276,3,708.0,False,0.0,35,2026-08-27 12:54:56,False,
23,66,8073,343,3,546.0,False,0.0,49,2026-08-02 23:38:43,True,High Delivery Fee
24,67,149,93,2,366.0,True,86.0,15,2026-08-08 13:27:42,False,
25,77,1870,239,2,210.0,True,40.0,49,2026-04-27 19:01:46,True,High Delivery Fee
26,82,4100,55,3,273.0,False,0.0,0,2026-07-05 14:54:35,False,
27,83,1572,376,5,1029.0,False,0.0,0,2026-08-01 09:39:02,True,Changed Mind
28,85,2549,242,2,304.0,False,0.0,25,2026-05-16 14:11:51,False,
29,96,2004,211,2,443.0,True,72.0,35,2026-05-04 18:36:57,False,
30,97,5457,476,4,1876.0,True,340.0,0,2026-03-18 23:01:55,False,
31,100,8986,261,3,1732.0,True,253.0,25,2026-05-22 21:57:58,False,
32,103,2888,115,2,403.0,False,0.0,25,2026-03-13 20:42:20,False,
33,108,299,388,2,472.0,False,0.0,0,2026-06-25 20:10:13,True,Found Better Option
34,109,9724,191,1,473.0,False,0.0,49,2026-07-11 13:22:41,False,
35,111,488,169,3,743.0,True,146.0,0,2026-06-09 18:19:21,False,
36,112,8034,321,3,652.0,False,0.0,0,2026-07-13 13:35:55,False,
37,113,4404,489,4,543.0,True,79.0,49,2026-04-25 13:12:39,True,High Delivery Fee
38,114,8047,222,2,340.0,False,0.0,0,2026-04-24 18:45:33,False,
39,117,9643,388,3,630.0,False,0.0,0,2026-05-09 19:14:19,False,
40,120,567,494,5,964.0,False,0.0,25,2026-07-09 21:27:37,True,Price Too High
41,121,8000,44,1,174.0,True,35.0,25,2026-04-12 12:42:47,True,Changed Mind
42,122,6985,430,3,260.0,False,0.0,0,2026-03-16 11:44:51,False,
43,124,2241,349,4,615.0,True,62.0,0,2026-08-14 19:41:48,False,
