order_id,session_id,user_id,cart_id,restaurant_id,cuisine,items_count,cart_value,discount,delivery_fee,final_order_value,payment_method,delivery_time_mins,rating_given,coupon_applied,timestamp,city
1,4,7926,1,129,North Indian,1,107.0,0.0,25,132.0,UPI,41,2.0,False,2026-07-21 18:52:20,Delhi NCR
2,5,4595,2,396,Street Food,3,1474.0,311.0,0,1163.0,Wallet,33,5.0,True,2026-08-06 23:13:43,Delhi NCR
3,8,1847,4,237,South Indian,5,1231.0,0.0,15,1246.0,COD,34,4.0,False,2026-03-25 06:23:26,Mumbai
4,10,79,5,75,Street Food,4,723.0,0.0,0,723.0,Wallet,22,3.0,False,2026-05-03 23:38:13,Bangalore
5,13,37,6,489,Desserts,4,525.0,112.0,49,462.0,UPI,12,4.0,True,2026-05-12 12:37:03,Bangalore
6,18,7869,7,311,Fast Food,2,179.0,0.0,59,238.0,COD,36,,False,2026-03-02 12:46:00,Mumbai
7,20,3617,8,54,Chinese,2,613.0,165.0,0,448.0,UPI,23,,True,2026-03-13 01:40:01,Delhi NCR
8,24,880,9,217,Italian,3,1962.0,459.0,0,1503.0,UPI,35,5.0,True,2026-05-24 09:28:55,Mumbai
9,29,5018,12,225,Italian,2,354.0,0.0,0,354.0,COD,23,,False,2026-08-28 21:26:30,Bangalore
10,38,7194,15,334,Italian,4,890.0,106.0,0,784.0,Credit Card,32,,True,2026-05-22 22:26:14,Mumbai
11,47,3232,16,350,Desserts,1,186.0,0.0,49,235.0,Credit Card,37,5.0,False,2026-05-17 22:37:48,Chennai
12,51,413,17,471,North Indian,2,242.0,25.0,0,217.0,UPI,46,4.0,True,2026-03-14 20:37:40,Kolkata
13,52,6663,18,415,South Indian,1,418.0,0.0,25,443.0,Credit Card,40,2.0,False,2026-08-25 20:39:01,Delhi NCR
14,57,3126,19,498,Street Food,1,239.0,0.0,0,239.0,COD,40,1.0,False,2026-07-13 03:03:03,Bangalore
15,63,6818,20,304,North Indian,2,827.0,0.0,0,827.0,UPI,32,,False,2026-03-30 17:09:51,Bangalore
16,64,5945,21,47,North Indian,3,646.0,0.0,0,646.0,Credit Card,57,2.0,False,2026-08-24 18:20:28,Bangalore
17,65,3509,22,276,Pizza,3,708.0,0.0,35,743.0,UPI,27,5.0,False,2026-08-27 12:59:52,Jaipur
18,67,149,24,93,North Indian,2,366.0,86.0,15,295.0,UPI,38,2.0,True,2026-08-08 13:33:12,Mumbai
19,85,2549,28,242,North Indian,2,304.0,0.0,25,329.0,UPI,34,5.0,False,2026-05-16 14:17:43,Delhi NCR
20,96,2004,29,211,North Indian,2,443.0,72.0,35,406.0,UPI,37,3.0,True,2026-05-04 18:41:18,Chennai
21,97,5457,30,476,Fast Food,4,1876.0,340.0,0,1536.0,Wallet,31,,True,2026-03-18 23:07:06,Delhi NCR
22,100,8986,31,261,Biryani,3,1732.0,253.0,25,1504.0,Wallet,23,5.0,True,2026-05-22 22:02:31,Mumbai
