session_id,user_id,session_start,session_duration_secs,platform,day_of_week,hour_of_day,is_weekend
1,6362,2026-07-26 03:01:00,1071,Android,Sunday,3,True
2,1603,2026-07-23 16:36:00,239,Android,Thursday,16,False
3,9442,2026-06-21 18:58:00,86,iOS,Sunday,18,True
4,7926,2026-07-21 18:45:00,315,iOS,Tuesday,18,False
5,4595,2026-08-06 23:05:00,1200,Android,Thursday,23,False
6,8950,2026-06-21 22:11:00,344,Android,Sunday,22,True
7,1431,2026-07-08 08:16:00,212,Android,Wednesday,8,False
8,1847,2026-03-25 06:16:00,288,Web,Wednesday,6,False
9,1038,2026-04-15 14:04:00,692,Android,Wednesday,14,False
10,79,2026-05-03 23:31:00,111,Android,Sunday,23,True
11,1361,2026-07-22 11:45:00,391,iOS,Wednesday,11,False
12,9506,2026-05-12 21:23:00,92,Android,Tuesday,21,False
13,37,2026-05-12 12:30:00,195,iOS,Tuesday,12,False
14,1306,2026-05-10 00:12:00,312,Android,Sunday,0,True
15,1150,2026-04-12 12:28:00,53,Web,Sunday,12,True
16,1019,2026-06-30 14:00:00,890,Android,Tuesday,14,False
17,8680,2026-07-29 22:30:00,30,Web,Wednesday,22,False
18,7869,2026-03-02 12:38:00,416,iOS,Monday,12,False
19,3034,2026-03-10 20:21:00,1140,Android,Tuesday,20,False
20,3617,2026-03-13 01:33:00,143,iOS,Friday,1,False
21,3682,2026-03-03 07:27:00,316,Android,Tuesday,7,False
22,2659,2026-05-29 15:50:00,432,iOS,Friday,15,False
23,4344,2026-04-18 19:50:00,164,Android,Saturday,19,True
24,880,2026-05-24 09:20:00,89,iOS,Sunday,9,True
25,136,2026-06-08 21:01:00,149,Android,Monday,21,False
26,6616,2026-06-25 19:20:00,30,Web,Thursday,19,False
27,88,2026-06-20 23:49:00,811,Android,Saturday,23,True
28,1088,2026-06-01 17:27:00,112,Android,Monday,17,False
29,5018,2026-08-28 21:18:00,30,Android,Friday,21,False
30,4468,2026-06-06 09:22:00,73,iOS,Saturday,9,True
31,7797,2026-03-15 09:59:00,120,Android,Sunday,9,True
32,2767,2026-03-12 20:49:00,260,Android,Thursday,20,False
33,4693,2026-08-29 19:32:00,45,Android,Saturday,19,True
34,1205,2026-06-04 22:37:00,272,Android,Thursday,22,False
35,6338,2026-04-02 20:56:00,30,iOS,Thursday,20,False
36,4482,2026-07-20 13:04:00,85,iOS,Monday,13,False
37,1191,2026-08-01 07:29:00,233,Android,Saturday,7,True
38,7194,2026-05-22 22:18:00,74,Android,Friday,22,False
39,5726,2026-05-03 14:14:00,1200,Android,Sunday,14,True
40,8612,2026-04-20 12:52:00,543,Web,Monday,12,False
41,5941,2026-03-17 20:27:00,751,Web,Tuesday,20,False
42,9915,2026-04-28 18:05:00,30,iOS,Tuesday,18,False
43,487,2026-04-23 10:54:00,79,Android,Thursday,10,False
44,1755,2026-07-30 15:16:00,137,Web,Thursday,15,False
45,1727,2026-05-18 19:57:00,214,Android,Monday,19,False
46,9314,2026-03-06 11:12:00,196,Android,Friday,11,False
47,3232,2026-05-17 22:30:00,30,iOS,Sunday,22,True
48,5256,2026-06-09 09:02:00,88,Android,Tuesday,9,False
49,8386,2026-08-05 17:33:00,218,iOS,Wednesday,17,False
50,5832,2026-06-11 00:49:00,265,iOS,Thursday,0,False
51,413,2026-03-14 20:30:00,88,iOS,Saturday,20,True
52,6663,2026-08-25 20:31:00,733,Android,Tuesday,20,False
53,7458,2026-08-17 13:12:00,171,Android,Monday,13,False
54,7959,2026-06-23 16:22:00,30,Web,Tuesday,16,False
55,4970,2026-03-14 07:46:00,161,Android,Saturday,7,True
56,7089,2026-05-26 12:33:00,411,Android,Tuesday,12,False
57,3126,2026-07-13 02:55:00,250,Android,Monday,2,False
58,7734,2026-08-16 18:55:00,30,Web,Sunday,18,True
59,3650,2026-06-06 11:49:00,30,Web,Saturday,11,True
60,6789,2026-07-04 17:19:00,513,iOS,Saturday,17,True
61,8767,2026-07-29 13:10:00,207,Android,Wednesday,13,False
62,7173,2026-06-14 18:50:00,554,Android,Sunday,18,True
63,6818,2026-03-30 17:01:00,268,Android,Monday,17,False
64,5945,2026-08-24 18:12:00,233,Android,Monday,18,False
65,3509,2026-08-27 12:51:00,669,Android,Thursday,12,False
66,8073,2026-08-02 23:34:00,118,Android,Sunday,23,True
67,149,2026-08-08 13:25:00,50,iOS,Saturday,13,True
68,9853,2026-07-17 11:50:00,55,iOS,Friday,11,False
69,1423,2026-05-09 19:16:00,415,Android,Saturday,19,True
70,7910,2026-06-26 16:35:00,228,Android,Friday,16,False
71,3623,2026-04-03 13:21:00,263,Android,Friday,13,False
72,1858,2026-05-11 16:01:00,172,Android,Monday,16,False
73,6582,2026-07-16 08:13:00,517,Web,Thursday,8,False
74,1810,2026-08-15 15:47:00,87,Android,Saturday,15,True
75,3892,2026-03-06 18:01:00,1087,Android,Friday,18,False
76,8315,2026-05-05 08:54:00,277,iOS,Tuesday,8,False
77,1870,2026-04-27 18:58:00,517,Android,Monday,18,False
78,6589,2026-06-18 11:04:00,816,iOS,Thursday,11,False
79,6127,2026-05-26 22:58:00,201,iOS,Tuesday,22,False
80,6535,2026-07-02 12:54:00,102,Android,Thursday,12,False
81,1688,2026-04-06 09:32:00,608,Android,Monday,9,False
82,4100,2026-07-05 14:50:00,136,Android,Sunday,14,True
83,1572,2026-08-01 09:36:00,245,Android,Saturday,9,True
84,4501,2026-07-28 17:09:00,196,Android,Tuesday,17,False
85,2549,2026-05-16 14:09:00,895,iOS,Saturday,14,True
86,7873,2026-05-05 17:20:00,206,Android,Tuesday,17,False
87,4342,2026-03-27 07:50:00,179,Android,Friday,7,False
88,9322,2026-04-26 14:12:00,266,iOS,Sunday,14,True
89,518,2026-07-03 08:35:00,53,Android,Friday,8,False
90,1207,2026-06-25 13:09:00,384,Android,Thursday,13,False
91,9493,2026-05-29 19:03:00,213,iOS,Friday,19,False
92,561,2026-05-29 08:02:00,806,iOS,Friday,8,False
93,9396,2026-03-31 12:43:00,30,iOS,Tuesday,12,False
94,938,2026-08-21 09:09:00,51,Web,Friday,9,False
95,2243,2026-03-23 11:40:00,159,Android,Monday,11,False
96,2004,2026-05-04 18:33:00,142,Android,Monday,18,False
97,5457,2026-03-18 22:59:00,991,iOS,Wednesday,22,False
98,7165,2026-04-17 13:51:00,240,iOS,Friday,13,False
99,4505,2026-04-06 21:55:00,405,Android,Monday,21,False
100,8986,2026-05-22 21:54:00,194,iOS,Friday,21,False
101,930,2026-03-01 08:42:00,308,Android,Sunday,8,True
102,1591,2026-04-23 16:47:00,253,iOS,Thursday,16,False
103,2888,2026-03-13 20:38:00,30,Android,Friday,20,False
104,9162,2026-07-13 21:54:00,351,iOS,Monday,21,False
105,9360,2026-03-18 12:16:00,378,Android,Wednesday,12,False
106,3321,2026-06-27 13:28:00,399,iOS,Saturday,13,True
