restaurant_id,name,cuisine,city,rating,avg_cost_for_two,avg_delivery_time_mins,has_photos,is_promoted,delivery_fee,total_reviews
1,Green Express #1,Desserts,Delhi NCR,3.5,600,36,False,False,15,4538
2,Golden Den #2,Continental,Delhi NCR,2.6,800,23,True,False,0,3660
3,Red Palace #3,Biryani,Pune,3.8,500,33,True,False,0,4227
4,Classic Kitchen #4,Biryani,Mumbai,3.5,400,25,True,False,25,4899
5,Spice Cafe #5,Biryani,Delhi NCR,4.3,300,28,True,True,25,2789
6,Spice Cafe #6,Desserts,Hyderabad,3.9,400,17,True,False,35,4855
7,Royal Grill #7,Chinese,Hyderabad,4.5,500,15,True,False,15,3625
8,Silver Corner #8,Desserts,Mumbai,2.6,400,56,False,False,49,2006
9,Royal Hub #9,Street Food,Mumbai,4.2,600,37,False,False,25,1306
10,Hungry Den #10,Biryani,Chennai,4.7,300,46,False,False,25,3255
11,Taste Express #11,North Indian,Jaipur,3.6,500,32,True,False,35,2295
12,Blue Palace #12,Desserts,Lucknow,3.6,500,33,False,False,15,119
13,Urban Junction #13,North Indian,Lucknow,3.6,300,24,False,False,15,421
14,Blue Box #14,Thai,Delhi NCR,3.5,1500,41,True,False,15,80
15,Yummy Express #15,North Indian,Delhi NCR,4.5,800,42,False,False,35,3737
16,Fresh Corner #16,Street Food,Mumbai,3.3,400,40,False,False,0,727
17,Silver Point #17,Chinese,Delhi NCR,4.2,600,35,False,False,25,2480
18,Royal House #18,Street Food,Delhi NCR,2.9,600,37,False,False,35,2298
19,Hungry Kitchen #19,Fast Food,Hyderabad,3.1,600,30,False,True,25,3684
20,Urban Dhaba #20,Biryani,Delhi NCR,3.9,400,45,False,False,25,728
21,Yummy Corner #21,North Indian,Delhi NCR,3.2,1000,21,True,False,0,136
22,Silver Palace #22,Thai,Hyderabad,3.2,600,27,False,True,35,435
23,Urban Point #23,North Indian,Delhi NCR,4.6,500,32,False,False,35,2335
24,Classic Grill #24,Continental,Delhi NCR,4.1,200,22,True,False,35,2551
25,Hungry Express #25,Biryani,Hyderabad,3.9,300,19,True,True,35,2445
26,Spice Box #26,Chinese,Mumbai,4.2,500,32,True,True,25,2828
27,Royal Den #27,Biryani,Pune,3.0,1000,30,False,False,25,545
28,Golden Box #28,Street Food,Jaipur,3.3,500,33,True,True,35,3543
29,Hungry Express #29,Street Food,Bangalore,4.0,400,35,True,False,49,2344
30,Classic Corner #30,North Indian,Hyderabad,2.9,200,41,True,False,35,2502
31,Yummy Corner #31,Rolls,Bangalore,3.0,500,35,False,False,35,1154
32,Desi Cafe #32,Biryani,Jaipur,3.6,400,52,False,False,25,1731
33,Green Point #33,Italian,Mumbai,3.9,500,36,True,False,25,3500
34,Green Grill #34,Biryani,Kolkata,3.7,600,50,True,False,15,3880
35,Classic Dhaba #35,South Indian,Chennai,3.3,800,45,False,False,25,1789
36,Desi Express #36,South Indian,Pune,3.3,800,46,True,True,0,3157
37,Spice Hub #37,North Indian,Jaipur,3.7,600,19,True,False,25,915
38,Desi Kitchen #38,Pizza,Bangalore,4.3,1000,36,False,False,0,2141
39,Royal Hub #39,Chinese,Delhi NCR,4.7,600,38,True,False,25,2933
40,Hungry Spot #40,Street Food,Pune,3.9,800,32,True,True,15,1857
41,Green Box #41,Chinese,Kolkata,2.7,600,36,False,False,49,316
42,Hungry Bites #42,North Indian,Chennai,4.3,800,24,True,True,25,3526
43,Golden Point #43,North Indian,Kolkata,4.2,300,49,True,False,49,3740
44,Royal Palace #44,Pizza,Pune,3.5,600,35,True,False,25,4442
45,Urban Bites #45,North Indian,Jaipur,3.7,300,39,False,False,49,526
46,Red Cafe #46,North Indian,Hyderabad,4.7,200,27,True,False,15,110
47,Foodie Grill #47,North Indian,Bangalore,4.8,500,50,True,False,25,2157
48,Desi Spot #48,Chinese,Chennai,3.3,400,43,True,False,35,2230
49,Royal Bites #49,Continental,Mumbai,5.0,500,45,True,True,15,2839
50,Taste Kitchen #50,Mughlai,Bangalore,4.1,600,55,False,False,35,1918
51,Golden Dhaba #51,North Indian,Pune,5.0,300,32,False,False,15,37
52,Red House #52,North Indian,Mumbai,3.0,600,40,False,False,25,4862
53,Urban Express #53,Desserts,Bangalore,3.5,1500,40,True,False,0,3346
54,Royal Express #54,Chinese,Delhi NCR,2.5,600,29,True,False,0,2372
55,Hungry Express #55,Pizza,Delhi NCR,3.7,300,38,False,False,15,4143
56,Fresh Junction #56,South Indian,Chennai,4.3,600,27,True,False,49,3686
57,Golden Express #57,Fast Food,Bangalore,4.9,200,34,True,False,35,3234
58,Classic Hub #58,North Indian,Pune,3.4,500,18,True,False,49,2385
59,Classic Hub #59,Pizza,Mumbai,4.0,500,27,False,True,49,57
60,Golden House #60,South Indian,Bangalore,3.6,1200,16,False,False,25,3723
61,Desi Bites #61,Chinese,Mumbai,4.2,600,50,True,True,25,15
62,Blue Spot #62,Fast Food,Delhi NCR,3.7,600,41,False,False,49,779
63,Silver Kitchen #63,Chinese,Pune,3.6,500,30,False,True,25,1372
64,Desi Bites #64,North Indian,Mumbai,2.8,500,27,True,False,49,3350
65,Classic Box #65,North Indian,Mumbai,4.0,1500,46,True,False,25,826
66,Desi Corner #66,Thai,Bangalore,4.7,200,52,True,False,25,3838
67,Red Box #67,Chinese,Pune,3.0,400,42,False,False,15,17
68,Yummy Junction #68,Chinese,Hyderabad,4.4,300,48,True,True,0,4882
69,Fresh Hub #69,Mughlai,Pune,3.9,400,34,True,False,25,4768
70,Urban Dhaba #70,Pizza,Mumbai,2.6,500,15,False,False,15,2542
71,Blue Cafe #71,Street Food,Hyderabad,3.6,400,33,True,False,15,2769
72,Yummy Spot #72,Biryani,Bangalore,3.6,1200,36,True,False,15,338
73,Golden Cafe #73,Healthy Food,Ahmedabad,4.1,600,45,False,False,25,4505
74,Green Den #74,South Indian,Pune,4.1,600,31,True,False,25,4885
75,Golden Dhaba #75,Street Food,Bangalore,3.9,600,23,True,False,49,1922
76,Spice Den #76,North Indian,Hyderabad,4.2,1000,17,True,True,49,2395
77,Silver Cafe #77,North Indian,Bangalore,3.3,600,41,False,True,49,3990
78,Green Palace #78,South Indian,Bangalore,3.7,200,32,True,False,25,2476
79,Blue Cafe #79,Street Food,Hyderabad,3.7,400,23,True,False,25,3047
80,Red Point #80,Pizza,Delhi NCR,4.5,1500,41,True,False,49,1204
81,Silver Box #81,Street Food,Delhi NCR,2.7,600,42,True,False,15,110
82,Spice Grill #82,Italian,Delhi NCR,4.2,200,32,True,True,0,2471
83,Blue Cafe #83,Fast Food,Pune,4.7,500,45,True,False,0,332
84,Blue Palace #84,Street Food,Jaipur,3.9,1500,41,True,False,49,4134
85,Desi Bites #85,Biryani,Bangalore,5.0,1500,33,True,True,25,3659
86,Silver Cafe #86,Fast Food,Mumbai,3.5,400,32,False,True,25,4856
