user_id,signup_date,city,age_group,device_type,user_segment
1,2025-11-18,Bangalore,25-34,Android,Returning
2,2025-03-17,Ahmedabad,25-34,iOS,Power
3,2025-06-03,Bangalore,18-24,iOS,Returning
4,2025-11-14,Hyderabad,45+,Android,Returning
5,2025-12-19,Bangalore,25-34,iOS,Returning
6,2025-08-24,Bangalore,18-24,Android,Returning
7,2026-02-08,Mumbai,25-34,Android,New
8,2025-11-18,Delhi NCR,25-34,Android,Power
9,2025-10-30,Bangalore,18-24,Android,Returning
10,2025-07-29,Hyderabad,45+,Android,Power
11,2025-04-04,Bangalore,18-24,Android,Power
12,2025-12-03,Delhi NCR,25-34,Web,Returning
13,2025-11-21,Bangalore,45+,iOS,Returning
14,2025-03-06,Delhi NCR,18-24,iOS,Power
15,2025-09-30,Ahmedabad,18-24,iOS,Returning
16,2025-10-21,Bangalore,18-24,iOS,Returning
17,2025-10-02,Mumbai,18-24,Android,Returning
18,2025-04-26,Mumbai,18-24,Web,Power
19,2025-06-16,Lucknow,35-44,iOS,Power
20,2025-03-22,Delhi NCR,35-44,Android,Returning
21,2025-05-11,Pune,35-44,iOS,Returning
22,2025-08-21,Mumbai,25-34,iOS,Power
23,2025-05-28,Ahmedabad,35-44,Android,Returning
24,2025-09-21,Kolkata,25-34,Android,Power
25,2025-04-21,Hyderabad,25-34,Android,Returning
26,2026-02-07,Mumbai,25-34,Web,New
27,2025-06-21,Delhi NCR,18-24,Android,Returning
28,2025-07-08,Bangalore,45+,Android,Returning
29,2025-03-21,Bangalore,25-34,Android,Returning
30,2026-01-11,Delhi NCR,35-44,iOS,Returning
31,2026-01-01,Mumbai,25-34,Web,Returning
32,2025-09-12,Hyderabad,25-34,iOS,Power
33,2025-08-25,Bangalore,18-24,Android,Power
34,2025-06-03,Delhi NCR,25-34,iOS,Power
35,2025-08-23,Mumbai,35-44,iOS,Power
36,2025-09-07,Lucknow,18-24,iOS,Returning
37,2026-01-09,Bangalore,45+,iOS,Returning
38,2025-03-02,Pune,25-34,Android,Returning
39,2026-01-05,Bangalore,18-24,Android,Returning
40,2025-06-30,Mumbai,25-34,Android,Power
41,2025-04-15,Delhi NCR,35-44,Web,Returning
42,2025-10-21,Delhi NCR,25-34,iOS,Returning
43,2025-04-28,Kolkata,25-34,iOS,Returning
44,2025-10-17,Chennai,25-34,Web,Returning
45,2026-02-08,Delhi NCR,25-34,Web,New
46,2025-04-06,Jaipur,18-24,Android,Power
47,2025-09-15,Delhi NCR,18-24,Android,Returning
48,2025-05-31,Lucknow,18-24,Web,Returning
49,2025-12-02,Lucknow,18-24,Web,Returning
50,2025-04-19,Delhi NCR,18-24,iOS,Returning
51,2026-02-15,Delhi NCR,25-34,Web,New
52,2025-07-02,Bangalore,25-34,Android,Returning
53,2025-06-09,Chennai,18-24,Android,Returning
54,2025-03-20,Bangalore,18-24,Android,Power
55,2026-01-07,Jaipur,18-24,iOS,Returning
56,2025-03-26,Chennai,25-34,iOS,Returning
57,2025-11-29,Delhi NCR,18-24,iOS,Power
58,2025-06-10,Mumbai,25-34,Android,Returning
59,2026-01-25,Chennai,25-34,Android,Returning
60,2025-08-07,Mumbai,25-34,Web,Power
61,2025-12-10,Pune,35-44,Android,Returning
62,2026-01-10,Delhi NCR,18-24,iOS,Returning
63,2025-03-06,Delhi NCR,18-24,iOS,Returning
64,2026-02-27,Mumbai,18-24,iOS,New
65,2026-01-06,Chennai,18-24,Web,Returning
66,2025-11-15,Mumbai,18-24,Android,Power
67,2025-06-14,Pune,35-44,iOS,Returning
68,2025-04-25,Bangalore,18-24,Android,Returning
69,2025-08-22,Pune,45+,Android,Returning
70,2025-07-26,Hyderabad,18-24,Android,Power
71,2026-01-16,Mumbai,35-44,Android,Returning
72,2025-09-20,Pune,35-44,Web,Returning
73,2025-08-11,Mumbai,25-34,iOS,Returning
74,2025-06-04,Bangalore,25-34,Android,Returning
75,2025-03-15,Mumbai,25-34,Android,Power
76,2025-05-01,Pune,35-44,Android,Returning
